date,equipement_id,time,temperature,vibration,courant,alerts,panne,energy_consumption,cpu_usage,memory_usage
2024-01-01 00:00:00,0,0,52.483570765056164,6.399355436586002,8.649643450051236,0,0,400.9714016219797,76.53833690405118,60.35463382619406
2024-01-01 00:01:00,0,1,49.31867849414407,5.925633682912769,9.715962658568966,0,0,447.2507176531564,37.634754583955896,53.87727213091843
2024-01-01 00:02:00,0,2,53.258442690503465,5.061630369920174,8.425160158000077,0,0,470.6485796853707,66.42958418525691,39.4918843231342
2024-01-01 00:03:00,0,3,57.64514928204013,4.356063222294426,9.39907694072192,1,0,507.4834455462346,14.048206614954246,94.79531881694601
2024-01-01 00:04:00,0,4,48.86923312638332,5.702223313613589,6.232770666092428,0,0,551.208116330344,47.12147457806478,83.62681838051424
2024-01-01 00:05:00,0,5,48.879315215254096,5.39848538542175,10.451587414745877,0,0,534.7067971685882,85.02218085794516,37.84905083434402
2024-01-01 00:06:00,0,6,57.95606407753696,5.901193220027732,10.032410950724447,1,0,441.03376007762574,31.9271558241058,86.92989085133075
2024-01-01 00:07:00,0,7,53.907173645764544,5.642171801681969,8.400822737863619,0,0,481.41438689171736,13.997663125241324,64.01644747560566
2024-01-01 00:08:00,0,8,47.73262807032524,6.057552715319335,11.358491336864809,0,0,503.8187794351283,56.63559935531324,20.94215366470194
2024-01-01 00:09:00,0,9,52.80280021792983,4.473764788439432,11.920140275253116,0,0,486.889643777675,38.40798104531685,45.961353572483574
2024-01-01 00:10:00,0,10,47.78291153593769,6.3273940656343255,6.834880271262052,0,0,486.5352387065853,40.374677607936526,21.929956956099353
2024-01-01 00:11:00,0,11,47.781351232148715,5.2085996046924,8.52955044286757,0,0,413.8628337672864,56.59657496454521,26.582789841650662
2024-01-01 00:12:00,0,12,51.32981135783017,7.087260872625265,8.521715300425404,1,0,442.363292443018,59.72712474785755,33.423297984839984
2024-01-01 00:13:00,0,13,40.56359877671101,4.323812181910432,8.18519379778227,0,0,479.8530075430363,44.98575724655958,56.32989827496527
2024-01-01 00:14:00,0,14,41.515410837434835,6.74996380316525,11.728949683863497,0,0,345.33871625274185,50.6039393751587,48.59665305314178
2024-01-01 00:15:00,0,15,47.33856235379513,5.212910783462648,9.687347722454392,0,0,532.0322160004928,89.46046053966444,31.174712893518503
2024-01-01 00:16:00,0,16,45.09584439832788,4.364581996385551,9.550970317378779,0,0,431.3660450144465,86.5718366427644,49.591656888451794
2024-01-01 00:17:00,0,17,51.74123666297637,4.533114165945679,6.077275271186493,0,0,534.3419066632569,66.58536576194433,42.82546183517917
2024-01-01 00:18:00,0,18,45.63987962239394,4.69765269180568,11.360836060418453,0,0,529.9458002235455,22.9183621551186,50.76169541810269
2024-01-01 00:19:00,0,19,43.12848149332354,5.443165946401916,7.616483210293055,0,0,472.81534784438077,38.79680671900274,32.92331647003235
2024-01-01 00:20:00,0,20,57.52824384460777,5.542835488035499,10.219865260532655,1,0,550.0274162850769,80.64705792694606,65.72832788632891
2024-01-01 00:21:00,0,21,49.081118497567324,4.447299996061421,10.659753875916383,0,0,537.1598672462467,43.885273294334795,23.339841924896366
2024-01-01 00:22:00,0,22,50.557641023439615,4.997645407739017,12.831317191677302,1,0,484.551926458268,86.42941195010268,49.09079088601983
2024-01-01 00:23:00,0,23,43.106259068932715,7.165270358611863,7.4973592017617765,1,0,478.9120192404151,49.06414266072229,87.1164255187401
2024-01-01 00:24:00,0,24,47.51808637737409,6.751543170100711,4.0809756883583495,0,0,554.8616392832179,78.94153073641013,51.47527067770776
